hotel_code,hotel_name,address,phone,rating,description,card_price,overview_table_json,pets_json,parking_json,amenities_json,nearby_json,airport_json,is_pet_friendly,last_updated
HILTON-1-1,Hilton Manila Newport World Resorts,"Manila, PH",+63 2 7239 7788,Rating: 4.7 out of 5.0,"Find us in the center of Newport World Resorts’ vibrant scene, which has a theatre, cinema, casino, and mall. We’re accessible via the air-conditioned Runway Manila Sky Bridge from NAIA Terminal 3 and 10 minutes from Makati via the Skyway....","P 8,438","{""Check-in"": ""3:00 PM"", ""Check-out"": ""12:00 PM"", ""Currency"": ""Philippine Peso"", ""Smoking"": ""Smoking is permitted in designated areas by the pool and in the adjacent casino."", ""Parking"": ""Valet parking - P 180.00 / night"", ""Pets"": ""Pets allowed, P 7,500.00 non-refundable fee, 30 lbs maximum, Limited pet-friendly rooms. Max 2 pets (cats/dogs) per room. PHP 7,500 fee per stay."", ""Families and kids"": ""All packages which encompass meal inclusions and Executive Lounge privileges (for Executive Rooms and above), are exclusively designed for adult guests. Children between the ages of 0 and 5 may partake in the benefits without charge, whereas those between 6 and 12 years of age are entitled to a 50% discount. Guests aged 13 years and above will be subject to the standard rate.""}","{""Pets"": ""Pets allowed, P 7,500.00 non-refundable fee, 30 lbs maximum, Limited pet-friendly rooms. Max 2 pets (cats/dogs) per room. PHP 7,500 fee per stay.""}","{""Parking"": ""Valet parking - P 180.00 / night""}","[""Connecting Rooms"", ""Free parking"", ""Non-smoking rooms"", ""Digital Key"", ""Concierge"", ""Executive lounge"", ""On-site restaurant"", ""Outdoor pool"", ""Fitness center"", ""Pet-friendly rooms"", ""Cribs"", ""Childcare"", ""Room service"", ""Meeting rooms""]","[{""place"": ""Newport Performing Arts Theatre"", ""distance"": ""0.10 kilometers""}, {""place"": ""PAF Aerospace Museum"", ""distance"": ""0.90 kilometers""}, {""place"": ""Villamor Golf Course"", ""distance"": ""1 kilometer""}, {""place"": ""Glorietta"", ""distance"": ""5.70 kilometers""}, {""place"": ""Mall of Asia"", ""distance"": ""6 kilometers""}, {""place"": ""City Center"", ""distance"": ""7 kilometers""}]","[{""airport"": ""Ninoy Aquino International Airport"", ""distance"": ""1 kilometer"", ""shuttle"": ""Airport shuttle""}, {""airport"": ""Clark Field"", ""distance"": ""110 kilometers"", ""shuttle"": ""Airport shuttle""}]",true,2025-12-23T08:31:27.064751
HILTON-1-2,Hilton Okinawa Chatan Resort,"Manila, PH",+81 98-901-1111,Rating: 4.4 out of 5.0,"Overlooking the East China Sea, our hotel is less than a kilometer from American Village. Enjoy ocean views, easy beach access and a range of water sports. Our resort-style outdoor pool has loungers and cabanas available, and we also have a...","P 8,438","{""Check-in"": ""3:00 PM"", ""Check-out"": ""12:00 PM"", ""Currency"": ""Yen"", ""Smoking"": ""All indoor areas are non-smoking. Designated Smoking areas are located in the car parking areas and outside the Ballroom Foyer."", ""Parking"": ""Self parking - ¥500.00 / night"", ""Pets"": ""Pets allowed, 12 kg maximum, Only available when booking \""Dog Friendly Room plan.\"" Dogs only. Only dogs are accepted at our properties.""}","{""Pets"": ""Pets allowed, 12 kg maximum, Only available when booking \""Dog Friendly Room plan.\"" Dogs only. Only dogs are accepted at our properties.""}","{""Parking"": ""Self parking - ¥500.00 / night""}","[""Connecting Rooms"", ""Non-smoking rooms"", ""Digital Key"", ""Concierge"", ""Resort"", ""Airport shuttle"", ""Executive lounge"", ""On-site restaurant"", ""Indoor pool"", ""Outdoor pool"", ""Fitness center"", ""Pet-friendly rooms"", ""Cribs"", ""Playground"", ""Room service"", ""Meeting rooms""]","[{""place"": ""Umincyu no Kai Marine Center"", ""distance"": ""0.20 kilometers""}, {""place"": ""City Center"", ""distance"": ""0.30 kilometers""}, {""place"": ""Ferris Wheel (SKYMAX 60)"", ""distance"": ""0.30 kilometers""}, {""place"": ""Sunset Beach"", ""distance"": ""0.50 kilometers""}, {""place"": ""Araha Beach"", ""distance"": ""5 kilometers""}, {""place"": ""Onishi Terrace Golf Club"", ""distance"": ""7.70 kilometers""}]","[{""airport"": ""Naha Airport"", ""distance"": ""20 kilometers"", ""shuttle"": ""Airport shuttle""}]",true,2025-12-23T08:31:39.983282
HILTON-1-3,Hilton Okinawa Sesoko Resort,"Manila, PH",+81 980-47-6300,Rating: 3.6 out of 5.0,"On Sesoko Island, our beachfront resort is 15 minutes from Okinawa Churaumi Aquarium and 20 minutes from the UNESCO-listed Nakijin Castle Ruins. Reach Yambaru National Park in 35 km. We feature a spa, ocean-facing balconies in most rooms,...","P 8,438","{""Check-in"": ""3:00 PM"", ""Check-out"": ""11:00 AM"", ""Currency"": ""Yen"", ""Smoking"": ""Smoking only allowed in designated area on 1F (outside). Please ask the Front Desk for locations of designated outdoor smoking areas. Strictly Non Smoking, 25,000 JPY Penalty will be levied for smoking in the room or on the balcony."", ""Parking"": ""Self parking - ¥1,500.00 / night"", ""Pets"": ""Pets allowed, 15 kg maximum, Only available when booking \""Sesoko Dog Friendly Room plan\"". Dogs only.""}","{""Pets"": ""Pets allowed, 15 kg maximum, Only available when booking \""Sesoko Dog Friendly Room plan\"". Dogs only.""}","{""Parking"": ""Self parking - ¥1,500.00 / night""}","[""Connecting Rooms"", ""Non-smoking rooms"", ""Digital Key"", ""Concierge"", ""Spa"", ""Resort"", ""Airport shuttle"", ""EV charging"", ""Executive lounge"", ""On-site restaurant"", ""Indoor pool"", ""Outdoor pool"", ""Fitness center"", ""Pet-friendly rooms"", ""Cribs"", ""Meeting rooms""]","[{""place"": ""Motobu Port"", ""distance"": ""5 kilometers""}, {""place"": ""City Center"", ""distance"": ""5.70 kilometers""}, {""place"": ""Okinawa Churaumi Aquarium"", ""distance"": ""10 kilometers""}, {""place"": ""Nakijin Castle Ruins (UNESCO)"", ""distance"": ""12 kilometers""}, {""place"": ""Minna Island (Croissant Island)"", ""distance"": ""13 kilometers""}, {""place"": ""JUNGLIA OKINAWA"", ""distance"": ""17 kilometers""}]","[{""airport"": ""Naha Airport"", ""distance"": ""89 kilometers"", ""shuttle"": ""Airport shuttle""}]",true,2025-12-23T08:31:53.653075
HILTON-1-4,Hilton Okinawa Miyako Island Resort,"Manila, PH",+81 980-75-5500,Rating: 4.4 out of 5.0,"We’re located 15 minutes from Miyako Airport MMY and 25 minutes from Shimojishima Airport SHI. Sunset Beach is less than one kilometer away. Miyako Island Underwater Park, Miyakojima City Tropical Plant Garden, and golf at Shigira Bay...","P 8,438","{""Check-in"": ""3:00 PM"", ""Check-out"": ""11:00 AM"", ""Currency"": ""Yen"", ""Smoking"": ""Smoking only allowed in designated area on 1F (outside). A fee will be assessed for smoking in a non-smoking room. Please ask the Front Desk for locations of designated outdoor smoking areas."", ""Parking"": ""Valet parking - ¥1,000.00 / night"", ""Pets"": ""Pets allowed, 10 kg maximum, Only when book \""Dog Friendly Plan\"" or \""Dog Friendly Bb\"".""}","{""Pets"": ""Pets allowed, 10 kg maximum, Only when book \""Dog Friendly Plan\"" or \""Dog Friendly Bb\"".""}","{""Parking"": ""Valet parking - ¥1,000.00 / night""}","[""Free parking"", ""Non-smoking rooms"", ""Digital Key"", ""Concierge"", ""Spa"", ""Resort"", ""Airport shuttle"", ""Executive lounge"", ""On-site restaurant"", ""Indoor pool"", ""Outdoor pool"", ""Fitness center"", ""Pet-friendly rooms"", ""Cribs"", ""Room service"", ""Meeting rooms""]","[{""place"": ""Pina Gama Beach"", ""distance"": ""1 kilometer""}, {""place"": ""Irabu Bridge"", ""distance"": ""2 kilometers""}, {""place"": ""city center"", ""distance"": ""2 kilometers""}, {""place"": ""Sunayama Beach"", ""distance"": ""6 kilometers""}, {""place"": ""Yonaha-Maehama Beach"", ""distance"": ""9 kilometers""}, {""place"": ""City Center"", ""distance"": ""10 kilometers""}]","[{""airport"": ""Miyako Airport, Japan"", ""distance"": ""7 kilometers"", ""shuttle"": ""Airport shuttle""}, {""airport"": ""Shimojishima Airport, Japan"", ""distance"": ""13 kilometers"", ""shuttle"": ""Airport shuttle""}]",true,2025-12-23T08:32:05.569428
HILTON-1-5,Hilton Odawara Resort & Spa,,+81 465-29-1000,Rating: 3.9 out of 5.0,"Discover our Japanese resort just an hour from Tokyo, providing the perfect gateway to the scenic Hakone region. Enjoy complimentary hot spring baths to unwind, and stunning ocean views from every room. We offer farm-to-table local...",,"{""Check-in"": ""3:00 PM"", ""Check-out"": ""12:00 PM"", ""Currency"": ""Yen"", ""Smoking"": ""All guest rooms are non-smoking, including electronic and heated tobacco products."", ""Parking"": ""Self parking - Complimentary"", ""Pets"": ""Pets allowed, 18 kg maximum, Only when you book \""Dog Friendly Package\"". Limit 2 dogs""}","{""Pets"": ""Pets allowed, 18 kg maximum, Only when you book \""Dog Friendly Package\"". Limit 2 dogs""}","{""Parking"": ""Self parking - Complimentary""}","[""Connecting Rooms"", ""Free parking"", ""Non-smoking rooms"", ""Digital Key"", ""Concierge"", ""Spa"", ""Tennis"", ""Resort"", ""EV charging"", ""On-site restaurant"", ""Indoor pool"", ""Outdoor pool"", ""Fitness center"", ""Pet-friendly rooms"", ""Cribs"", ""Room service"", ""Meeting rooms""]","[{""place"": ""Enoura Observatory"", ""distance"": ""4 kilometers""}, {""place"": ""Odawara Castle"", ""distance"": ""8 kilometers""}, {""place"": ""Hakone Open Air Museum"", ""distance"": ""11 kilometers""}, {""place"": ""Hakone Shrine"", ""distance"": ""11 kilometers""}, {""place"": ""Lake Ashinoko"", ""distance"": ""11 kilometers""}, {""place"": ""Owakudani Valley"", ""distance"": ""13 kilometers""}]","[{""airport"": ""Haneda"", ""distance"": ""70 kilometers"", ""shuttle"": ""Airport shuttle""}, {""airport"": ""Narita"", ""distance"": ""130 kilometers"", ""shuttle"": ""Airport shuttle""}]",true,2025-12-23T08:32:19.585721
HILTON-1-6,Hilton Tokyo Bay,,+81 47-355-5000,Rating: 4.2 out of 5.0,"Find us beside Tokyo Disneyland® and Tokyo DisneySea®. Bayside Station is across the street, and Maihama Station trains to Tokyo nearby. Enjoy our whimsical fairytale-themed rooms, Mount Fuji views, on-site Disney Store, and several dining...",,"{""Check-in"": ""3:00 PM"", ""Check-out"": ""12:00 PM"", ""Currency"": ""Yen"", ""Smoking"": ""Guest rooms are non-smoking, including electronic and heated tobacco products. A smoking room is available on the 1st floor otherwise is prohibited."", ""Parking"": ""Self parking - ¥3,100.00 / night"", ""Pets"": ""Pets allowed, 7 kg maximum, Only when you book \""Pet Friendly plan\"". Limit of one dog or one cat. Reservations by phone only."", ""Families and kids"": ""Please note that the number of beds will be the number of adults in your reservation. If you need an extra bed for your child, please include your child as an adult when making a reservation. (Sleeps count for each room type is the maximum number of beds.) For plans including breakfast, it is included only for the adults in your reservation. Children will be charged separately for the breakfast based on their age. Children below six years will not have an additional breakfast charge.""}","{""Pets"": ""Pets allowed, 7 kg maximum, Only when you book \""Pet Friendly plan\"". Limit of one dog or one cat. Reservations by phone only.""}","{""Parking"": ""Self parking - ¥3,100.00 / night""}","[""Non-smoking rooms"", ""Digital Key"", ""Spa"", ""Resort"", ""EV charging"", ""Executive lounge"", ""On-site restaurant"", ""Indoor pool"", ""Outdoor pool"", ""Fitness center"", ""Pet-friendly rooms"", ""Cribs"", ""Meeting rooms""]","[{""place"": ""Tokyo Disneyland (R) Park"", ""distance"": ""1.90 kilometers""}, {""place"": ""Tokyo DisneySea (R) Park"", ""distance"": ""2 kilometers""}, {""place"": ""IKSPIARI(R)"", ""distance"": ""2.50 kilometers""}, {""place"": ""Kasai Rinkai Park"", ""distance"": ""4.90 kilometers""}, {""place"": ""TOKYO BIG SIGHT"", ""distance"": ""12.80 kilometers""}, {""place"": ""Tokyo station"", ""distance"": ""16.80 kilometers""}]","[{""airport"": ""Haneda"", ""distance"": ""30 kilometers"", ""shuttle"": ""Airport shuttle""}, {""airport"": ""Narita"", ""distance"": ""60 kilometers"", ""shuttle"": ""Airport shuttle""}]",true,2025-12-23T08:32:32.282659
HILTON-1-7,Hilton Nagoya,,+81 52-212-1111,Rating: 4.3 out of 5.0,"Our skyscraper hotel is in Nagoya’s central shopping, entertainment, and business area, a short walk from Fushimi Station. Osu Kannon temple, Nagoya Castle and the historic shops of Ōsu are less than three kilometers from our door. We have...",,"{""Check-in"": ""3:00 PM"", ""Check-out"": ""12:00 PM"", ""Currency"": ""Yen"", ""Smoking"": ""Smoking is only permitted in designated smoking areas."", ""Parking"": ""Self parking - ¥3,000.00 / night"", ""Pets"": ""Pets allowed, 10 kg maximum, Only when you book \""Pet Friendly Package\""."", ""Families and kids"": ""Guests aged 6 and up are charged with same price as adults; please include them as adults when making a reservation. Children over age 6 who are sharing beds with adults will have meal charges. If you have booked a plan that includes a meal and you have children aged 6 to 12 who will be sharing a bed with you, the below children's meal fee will be charged additionally at check-out. Below rates do not apply to Guests who have booked the \""Happy Family Plan\"" and are sharing a bed with children aged 6 to 12 years old. *All benefits and discounts do not apply.""}","{""Pets"": ""Pets allowed, 10 kg maximum, Only when you book \""Pet Friendly Package\"".""}","{""Parking"": ""Self parking - ¥3,000.00 / night""}","[""Connecting Rooms"", ""Non-smoking rooms"", ""Digital Key"", ""Concierge"", ""Tennis"", ""EV charging"", ""Executive lounge"", ""On-site restaurant"", ""Indoor pool"", ""Fitness center"", ""Pet-friendly rooms"", ""Cribs"", ""Room service"", ""Meeting rooms""]","[{""place"": ""Nagoya City Science Museum"", ""distance"": ""0.70 kilometers""}, {""place"": ""Sakae Shopping District"", ""distance"": ""1.20 kilometers""}, {""place"": ""Osu Kannon"", ""distance"": ""1.40 kilometers""}, {""place"": ""Mirai Tower (Nagoya TV Tower)"", ""distance"": ""1.70 kilometers""}, {""place"": ""City Center"", ""distance"": ""2 kilometers""}, {""place"": ""Osu Shopping District"", ""distance"": ""2 kilometers""}]","[{""airport"": ""Nagoya Airfield"", ""distance"": ""7.46 miles"", ""shuttle"": ""Airport shuttle""}, {""airport"": ""Central Japan International Airport"", ""distance"": ""15 miles"", ""shuttle"": ""Airport shuttle""}]",true,2025-12-23T08:32:45.828184
HILTON-1-8,Canopy by Hilton Osaka Umeda,,+81 6-7658-5300,Rating: 4.8 out of 5.0,"Located in the Grand Green Osaka, our hotel blends the city's vibrant energy with serene parkland. Stay close to local shopping, dining, and attractions, with transit stations a short walk away. Enjoy our restaurants and rooftop bar,...",,"{""Check-in"": ""3:00 PM"", ""Check-out"": ""11:00 AM"", ""Currency"": ""Yen"", ""Smoking"": ""A fee will be assessed for smoking in a non-smoking room. Please ask the Front Desk for locations of designated outdoor smoking areas."", ""Parking"": ""Self parking - ¥5,000.00 / night"", ""Pets"": ""Pets allowed, 15 kg maximum, Only when you book \""Pet Friendly Package\"". Pet-Friendly Package offers a bag of doggy snacks, a toy, and extra poop bags.""}","{""Pets"": ""Pets allowed, 15 kg maximum, Only when you book \""Pet Friendly Package\"". Pet-Friendly Package offers a bag of doggy snacks, a toy, and extra poop bags.""}","{""Parking"": ""Self parking - ¥5,000.00 / night""}","[""Connecting Rooms"", ""Non-smoking rooms"", ""Digital Key"", ""Concierge"", ""Boutique"", ""On-site restaurant"", ""Fitness center"", ""Pet-friendly rooms"", ""Cribs"", ""Room service"", ""Meeting rooms""]","[{""place"": ""Grand Front Osaka"", ""distance"": ""0.10 kilometers""}, {""place"": ""Umeda Sky Building"", ""distance"": ""0.20 kilometers""}, {""place"": ""Osaka Castle"", ""distance"": ""4.20 kilometers""}, {""place"": ""Kyocera Dome Osaka"", ""distance"": ""7 kilometers""}, {""place"": ""Abeno Harukas"", ""distance"": ""9 kilometers""}, {""place"": ""Universal Studios Japan"", ""distance"": ""9.50 kilometers""}]","[{""airport"": ""Osaka Itami International Airport"", ""distance"": ""15 kilometers"", ""shuttle"": ""Airport shuttle""}, {""airport"": ""Kansai International Airport"", ""distance"": ""51 kilometers"", ""shuttle"": ""Airport shuttle""}]",true,2025-12-23T08:32:58.215855
HILTON-1-9,Hilton Adelaide,,+61 8 8217 2000,Rating: 3.9 out of 5.0,"Our hotel overlooks Victoria Square in the heart of Adelaide’s entertainment and shopping district. We’re under 500 meters from local attractions like the Central Market and Chinatown, and two kilometers from Adelaide Botanic Gardens and...",,"{""Check-in"": ""3:00 PM"", ""Check-out"": ""12:00 PM"", ""Currency"": ""Australian Dollar"", ""Smoking"": ""Smoke-free. Smoking rooms are not available."", ""Parking"": ""Valet parking - AU$60.00 / night"", ""Pets"": ""Pets allowed, AU$500.00 refundable deposit, 30 kg maximum, 'Dog Friendly Package' must be booked. Must book on rate plan \""PRDORO\"". T&C's apply.""}","{""Pets"": ""Pets allowed, AU$500.00 refundable deposit, 30 kg maximum, 'Dog Friendly Package' must be booked. Must book on rate plan \""PRDORO\"". T&C's apply.""}","{""Parking"": ""Valet parking - AU$60.00 / night""}","[""Connecting Rooms"", ""Non-smoking rooms"", ""Digital Key"", ""Concierge"", ""Tennis"", ""Executive lounge"", ""On-site restaurant"", ""Outdoor pool"", ""Fitness center"", ""Pet-friendly rooms"", ""Cribs"", ""Childcare"", ""Room service"", ""Business center"", ""Meeting rooms""]","[{""place"": ""Adelaide Central Market"", ""distance"": ""0.20 kilometers""}, {""place"": ""Her Majesty's Theatre"", ""distance"": ""0.20 kilometers""}, {""place"": ""City Center"", ""distance"": ""0.50 kilometers""}, {""place"": ""Rundle Mall"", ""distance"": ""0.90 kilometers""}, {""place"": ""Adelaide Casino"", ""distance"": ""1 kilometer""}, {""place"": ""Adelaide Oval"", ""distance"": ""1.80 kilometers""}]","[{""airport"": ""International"", ""distance"": ""6.20 kilometers"", ""shuttle"": ""Airport shuttle""}]",true,2025-12-23T08:33:10.848950
HILTON-1-10,Hilton Fukuoka Sea Hawk,,+81 92-844-8111,Rating: 4.1 out of 5.0,"Our oceanfront hotel is adjacent to the Mizuho PayPay Dome Fukuoka and offers views of Hakata Bay. We’re five kilometers from central Fukuoka, and three kilometers from Fukuoka Art Museum and scenic Ohori Park. We offer a fitness room and...",,"{""Check-in"": ""3:00 PM"", ""Check-out"": ""11:00 AM"", ""Currency"": ""Yen"", ""Smoking"": ""Smoking is only permitted in designated smoking areas."", ""Parking"": ""Self parking - ¥2,000.00 / night"", ""Pets"": ""Pets allowed, 15 kg maximum, Only when you book \""Pawsome stay plan\"".""}","{""Pets"": ""Pets allowed, 15 kg maximum, Only when you book \""Pawsome stay plan\"".""}","{""Parking"": ""Self parking - ¥2,000.00 / night""}","[""Connecting Rooms"", ""Non-smoking rooms"", ""Digital Key"", ""Concierge"", ""Spa"", ""EV charging"", ""Executive lounge"", ""On-site restaurant"", ""Indoor pool"", ""Outdoor pool"", ""Fitness center"", ""Pet-friendly rooms"", ""Cribs"", ""Room service"", ""Meeting rooms""]","[{""place"": ""Fukuoka Tower"", ""distance"": ""0.50 kilometers""}, {""place"": ""Fukuoka City Museum"", ""distance"": ""0.70 kilometers""}, {""place"": ""Fukuoka Int Congress Center"", ""distance"": ""4 kilometers""}, {""place"": ""Tenjin Shopping Center"", ""distance"": ""4 kilometers""}, {""place"": ""Nakasu (Entertainment District)"", ""distance"": ""4.50 kilometers""}, {""place"": ""Fukuoka Convention Center"", ""distance"": ""5.70 kilometers""}]","[{""airport"": ""Fukuoka Airport"", ""distance"": ""11 kilometers"", ""shuttle"": ""Airport shuttle""}]",true,2025-12-23T08:33:22.298056
